--- LEAGUES ---
ID: 7c8bcb90-1fdc-4925-bfad-c6c5a04bea16 | Name: San Marcos de Arica | LeagueID: f6251388-49fe-4d9b-ac52-4568555abae7
ID: 7e16d433-75f1-471f-b760-96d45b09a9d0 | Name: Universidad de Concepción | LeagueID: b8f40800-8e29-4a45-adb2-250e3f3c63bf
ID: 8030a2a2-f69a-4562-aeed-f44fb737b8f4 | Name: Huachipato | LeagueID: dc45aff8-66e3-4b37-9033-a60a4e1aa369
ID: 818325ac-0564-4681-9d68-6b47614e0d34 | Name: Everton de Viña del Mar | LeagueID: 8a1bcb77-89f2-4884-ab20-750da17f48ac
ID: 81b7d049-45d6-4f83-b30e-7024bd0d1235 | Name: Colo-Colo | LeagueID: bad4091f-ff55-4dca-87d7-8f9af542a08c
ID: 82ef7c7b-9fb0-4f90-924c-00e279fcf8ab | Name: Deportes Limache | LeagueID: 8a1bcb77-89f2-4884-ab20-750da17f48ac
ID: 8371ce47-4b86-4d4c-b243-85f31f910a56 | Name: Curicó Unido | LeagueID: f0a51327-f9c0-4535-baec-ffb6121254f2
ID: 864ce821-a92f-4d36-ba7c-15feaa30a890 | Name: Deportes Copiapó | LeagueID: f0a51327-f9c0-4535-baec-ffb6121254f2
ID: 8689c753-c6fa-404b-8302-524aabeab2c5 | Name: Deportes Santa Cruz | LeagueID: 0b69c4c7-b9dc-4580-95ba-f07f0ad1893d
ID: 8704d90e-afaa-4f7a-97ea-0e31a43bff12 | Name: Deportes Copiapó | LeagueID: 41061bb3-3b28-459f-a1cc-7f65dc9f3e16
ID: 87a7ff36-001c-4535-945c-4966b5309ba2 | Name: Deportes Magallanes | LeagueID: b8f40800-8e29-4a45-adb2-250e3f3c63bf
ID: 88ffe2b7-fc56-4bcd-a4cb-c9e936597516 | Name: Universidad de Chile | LeagueID: bad4091f-ff55-4dca-87d7-8f9af542a08c
ID: 89aa1c74-c366-459d-bbf0-ebdf9a25d81b | Name: Deportes La Serena | LeagueID: b8f40800-8e29-4a45-adb2-250e3f3c63bf
ID: 89f905c1-742e-47a2-ae83-11cf1ec16cff | Name: Cobreloa | LeagueID: f6251388-49fe-4d9b-ac52-4568555abae7
ID: 8b46124c-bb04-4298-b127-86720ba4f69d | Name: Colo-Colo | LeagueID: 7cf6b610-f419-426b-a56e-16d680a9cd0c
ID: 8c632bec-3524-4fa7-bf0f-71103758fa31 | Name: Unión San Felipe | LeagueID: f6251388-49fe-4d9b-ac52-4568555abae7
ID: 8d44cf5c-220c-4978-a263-46bf9fe974da | Name: O'Higgins | LeagueID: 8a1bcb77-89f2-4884-ab20-750da17f48ac
ID: 90d16f5b-a216-4a96-9df2-f40a95c46ad1 | Name: Santiago Wanderers | LeagueID: 0b69c4c7-b9dc-4580-95ba-f07f0ad1893d
