ID_Partido,Jornada,Fecha_Hora,Equipo_Local,Goles_Local,Equipo_Visitante,Goles_Visitante,Posesion_Local,Posesion_Visitante,xG_Local,xG_Visitante,Disparos_Totales_Local,Disparos_Totales_Visitante,Disparos_a_Puerta_Local,Disparos_a_Puerta_Visitante,Corners_Local,Corners_Visitante
13443495,15,2025-06-22 16:30:00,Deportes La Serena,1,Deportes Limache,1,66.0,34.0,0.88,2.3,18.0,17.0,5.0,5.0,2.0,5.0
13443487,15,2025-06-22 19:00:00,Audax Italiano,2,Colo Colo,1,29.0,71.0,1.63,3.09,12.0,24.0,4.0,11.0,2.0,7.0
13443501,15,2025-06-22 21:30:00,Cobresal,1,Ñublense,1,44.0,56.0,1.08,1.09,13.0,13.0,5.0,3.0,3.0,12.0
13443499,15,2025-06-23 00:00:00,Everton de Viña del Mar,0,O'Higgins,1,38.0,62.0,1.12,1.7,11.0,17.0,2.0,4.0,3.0,7.0
13443509,16,2025-07-18 23:00:00,Everton de Viña del Mar,0,Deportes Limache,0,64.0,36.0,0.59,0.38,18.0,7.0,4.0,0.0,6.0,5.0
13443513,16,2025-07-19 16:30:00,Unión Española,3,Unión La Calera,1,46.0,54.0,1.62,0.8,12.0,3.0,4.0,1.0,10.0,2.0
13443503,16,2025-07-19 19:00:00,Colo Colo,2,Deportes La Serena,1,61.0,39.0,1.85,1.27,18.0,11.0,7.0,6.0,7.0,4.0
13443507,16,2025-07-19 21:30:00,Coquimbo Unido,4,Deportes Iquique,1,47.0,53.0,2.97,0.55,16.0,9.0,8.0,0.0,6.0,2.0
13443511,16,2025-07-20 16:30:00,Audax Italiano,1,Universidad Católica,1,50.0,50.0,1.2,1.14,9.0,11.0,2.0,3.0,2.0,5.0
13443516,16,2025-07-20 19:00:00,Ñublense,2,Universidad de Chile,2,41.0,59.0,1.94,1.71,9.0,10.0,4.0,5.0,1.0,3.0
13443518,16,2025-07-21 23:00:00,Huachipato,2,O'Higgins,1,52.0,48.0,3.48,0.75,14.0,18.0,8.0,4.0,5.0,4.0
13443505,16,2025-09-07 18:00:00,Cobresal,2,Palestino,1,40.0,60.0,1.85,0.39,23.0,9.0,8.0,2.0,8.0,7.0
13443530,17,2025-07-25 23:00:00,Deportes Limache,0,Ñublense,1,45.0,55.0,1.37,2.23,15.0,18.0,2.0,5.0,4.0,6.0
13443524,17,2025-07-26 19:00:00,Deportes La Serena,0,Cobresal,2,70.0,30.0,1.6,1.78,18.0,13.0,4.0,5.0,11.0,4.0
13443528,17,2025-07-26 21:30:00,Everton de Viña del Mar,4,Huachipato,1,49.0,51.0,2.53,1.02,17.0,5.0,6.0,2.0,4.0,8.0
13443534,17,2025-07-27 16:30:00,O'Higgins,1,Colo Colo,1,57.0,43.0,1.0,0.19,17.0,1.0,4.0,1.0,4.0,0.0
13443532,17,2025-07-27 19:00:00,Palestino,1,Unión Española,0,60.0,40.0,0.84,0.85,15.0,13.0,6.0,6.0,7.0,2.0
13443520,17,2025-07-27 19:00:00,Universidad Católica,0,Coquimbo Unido,3,60.0,40.0,0.16,2.28,5.0,16.0,0.0,8.0,1.0,6.0
13443522,17,2025-07-27 22:00:00,Deportes Iquique,1,Audax Italiano,0,37.0,63.0,0.89,1.15,13.0,13.0,3.0,5.0,2.0,6.0
13443526,17,2025-07-28 22:00:00,Unión La Calera,0,Universidad de Chile,4,30.0,70.0,0.18,2.16,3.0,17.0,2.0,8.0,4.0,3.0
13443544,18,2025-08-01 23:00:00,Audax Italiano,1,Palestino,1,38.0,62.0,0.87,0.94,13.0,19.0,3.0,5.0,5.0,7.0
13443546,18,2025-08-02 16:30:00,Unión Española,1,Deportes La Serena,0,57.0,43.0,1.3,1.22,24.0,10.0,6.0,6.0,11.0,2.0
13443542,18,2025-08-02 19:00:00,Coquimbo Unido,2,Deportes Limache,1,58.0,42.0,2.97,0.32,13.0,4.0,3.0,1.0,7.0,1.0
13443540,18,2025-08-02 21:30:00,Deportes Iquique,2,Universidad Católica,2,49.0,51.0,2.01,2.24,14.0,8.0,5.0,4.0,3.0,6.0
13443548,18,2025-08-03 16:30:00,O'Higgins,1,Unión La Calera,0,49.0,51.0,1.53,0.4,18.0,8.0,3.0,1.0,13.0,7.0
13443538,18,2025-08-03 19:00:00,Colo Colo,2,Huachipato,2,67.0,33.0,3.07,0.97,26.0,8.0,9.0,5.0,8.0,4.0
13443550,18,2025-08-03 21:30:00,Ñublense,1,Everton de Viña del Mar,0,56.0,44.0,0.44,1.04,7.0,13.0,1.0,4.0,2.0,3.0
13443536,18,2025-08-04 22:00:00,Universidad de Chile,0,Cobresal,1,66.0,34.0,2.02,0.5,25.0,7.0,4.0,4.0,11.0,2.0
13443564,19,2025-08-08 19:00:00,Palestino,2,Deportes Iquique,0,70.0,30.0,1.35,0.53,18.0,9.0,7.0,4.0,7.0,3.0
13443566,19,2025-08-09 16:30:00,Huachipato,1,Unión La Calera,0,66.0,34.0,,,16.0,3.0,3.0,0.0,10.0,3.0
